tweet_id,writer,post_date,body,comment_num,retweet_num,like_num
1139261573191671811,RaindropsOhMy,1560456100,"$AAPL, that close, OMG! LOL",1,0,0
1139261573422309381,TheBurdetteLawF,1560456100,#estate asset watch - most active $NDX stocks - $AMD $CMCSA $SIRI $AAPL $MU $MSFT $CSCO $LULU $FB $AAL $INTC $KHC $EBAY $NVDA $WDC $SYMC $JD $NFLX $QCOM $SBUX $AMAT $ATVI $CTSH $MNST $TMUS $MDLZ $GILD $PYPL $MYL $UAL $CTRP $WBA $CSX $TXN $AMZN $AVGO $MCHP $FAST $BIDU $XEL $XLNX,0,0,0
1139261594326708227,zomgapocalypse,1560456105,"LA Times reporters are not aware that Elon Musk is California’s largest manufacturing employer, more in state mfr people then chevron or anyone. The rest of Silicon Valley doesn’t count, they don’t build anything in America.",1,1,1
1139261636617920513,Tanzeel_Akhtar,1560456115,Electrek Shares Some Fan Art Of Teslas Upcoming Pickup Truck $TSLA https://benzinga.com/z/13918071#.XQKrp834tGY.twitter… # via @benzinga,0,2,1
1139261677273145344,TradeRunnerFX,1560456124,"MOC Imbalance Alert: $AAPL 1.142 mil paired shares, 352,384 imbalance shares, imbalance side S.",0,0,1
1139261718360543233,FuturamaKing,1560456134,Will $tsla network start at Florida ??,0,1,0
1139261830956638208,SteelNicho,1560456161,"They have that already, it's  based on the natural phenomenon of Lithium Dendrites...$tsla $TSLAQ",0,0,1
1139261839546736653,techeblog,1560456163,New 2019 #Apple Mac Pro with cheese grater #design gets transformed into this stylish machine. https://techeblog.com/new-2019-cheese-grater-apple-mac-pro/… #gadgets #technology #geek $AAPL,0,3,1
1139261897436516352,tradethelines,1560456177,"$AAPL....what was tht on the close? Was there a Thursday rebalancing I didn't know about, lol",0,0,0
1139261932253278208,CodeMonk13,1560456185,BOT 10 $TSLA @ 213.50Like I said before:$TSLA is like an iWatch on wheels!,1,0,0
1139262037064933378,WaitCapital,1560456210,$AAPL spiked $1.60 in 1 min.  Pretty normal.,2,2,9
1139262083286142976,RaindropsOhMy,1560456221,"$AAPL messed up the short trade today, but didn't get the trigger I wanted. I wasn't blind to the action and still took 1/3 size but did not wait for target which was well exceeded.",0,0,0
1139262203423363072,TradeRunnerFX,1560456250,"For reference, next nearest imbalance is 75,392 shares of $TLT. Someone sold a ton of $AAPL today.",0,0,1
1139262265679437824,RtGT_Guinness,1560456265,"""Earth to Tesla: Elon Musk Has Few Ideas Beyond Begging for Government Money"" - https://mises.org/wire/earth-tesla-elon-musk-has-few-ideas-beyond-begging-government-money… - $TSLA $TSLAQ",0,0,2
1139262271786496000,caetuscap,1560456266,we think $AAPL $ORCL or $BRK investment in $TSLA becoming near-certain Tesla needs another $15-$20bn of capital over next decade to gain 5% sedan market share in U.S. market. Can't do it alone. Elon wants to play with rockets...,1,0,1
1139262378799796224,AliceCh76224366,1560456292,Gents - short $amzn with both hands tmr,0,0,1
